time,Processes,FD,CPU,Apache children,errors,priority,memory,deleted FD,failed requests,no. of connections,halfopen connections,authenticated,transaction,stay-time
1,347,3119,56.9,5,O,3,35.5,150,0,894,129,2,10,5
2,345,3119,55.28,5,O,4,36.2,150,0,891,130,3,3,5
3,347,3119,57.2,5,O,5,36.6,150,0,900,131,5,5,5
4,347,3101,57.01,6,O,6,36.1,150,0,900,132,0,12,5
5,347,3102,56.45,6,O,7,38,150,0,900,133,2,2,5
6,347,3101,56.82,6,O,8,35.4,150,0,900,134,4,4,5
7,347,3102,56.05,6,O,9,36.2,150,0,900,135,3,3,5
8,347,3101,57.15,6,O,10,38.2,150,0,900,136,2,2,5
9,347,3102,57.24,6,O,11,38.2,150,0,900,137,0,0,5
10,347,3102,56.64,6,O,12,38.2,150,0,901,138,0,0,5
11,347,3102,57.46,6,O,13,38.2,150,0,900,168,0,0,5
12,347,3102,53.2,6,O,14,38.2,150,0,901,169,0,0,5
13,347,3101,57.06,6,O,15,38.2,150,0,902,170,0,0,5
14,347,3116,56.55,6,O,16,38.2,150,0,902,171,0,0,5
15,347,3116,57.04,6,O,17,38.2,150,0,902,172,0,0,5
16,347,3116,56.96,6,O,18,38.2,150,0,902,173,0,0,5
17,347,3115,52.66,6,O,19,38.2,150,0,902,174,0,0,5
18,347,3115,56.95,6,O,20,38.2,150,0,898,175,0,0,5
19,347,3115,56.9,6,O,21,38.2,150,0,900,176,0,0,5
20,347,3115,57.44,6,O,22,38.2,150,0,900,177,0,0,5
21,347,3116,56.96,6,O,23,38.2,150,0,900,178,0,0,5
22,347,3116,57.01,6,O,24,38.2,150,0,900,179,0,0,5
23,347,3116,57.11,6,O,25,38.2,150,0,900,180,0,0,5
24,347,3116,57.73,6,O,26,38.2,150,0,900,172,0,0,5
25,347,3116,56.9,6,O,27,38.2,150,0,900,172,0,0,3
26,347,3116,57.59,6,O,28,38.2,150,0,900,172,0,0,3
27,347,3116,56.81,6,O,7,38.2,150,0,897,172,0,0,3
28,347,3116,56.8,6,O,7,38.2,150,0,898,172,0,0,3
29,348,3116,57.28,6,O,7,38.2,150,0,898,172,0,0,3
30,348,3116,57.05,6,O,3,38.2,150,0,898,172,0,0,3
31,348,3116,51.72,6,O,3,38.2,150,0,898,172,2,2,3
32,348,3116,57.15,6,O,3,38.2,150,0,898,172,1,1,3
33,348,3116,57.53,6,O,3,38.2,150,0,898,172,3,3,3
34,348,3116,56.97,6,O,3,38.2,150,0,898,172,4,4,4
35,348,3116,57.15,6,O,4,38.2,150,0,898,172,6,6,4
36,348,3116,55.1,6,O,4,38.2,150,0,898,172,5,5,4
37,348,3116,54.91,6,O,4,38.2,150,0,898,172,4,3,4
38,348,3116,57.36,6,O,4,38.2,150,0,898,172,7,6,4
