FD,Concurrency,time,Apache_Child_Process,no. of processes,iowait,staytime,authenticated,transactions,deleted,failure,no. of connections,halfopen,Errors,memory
1423,1,1,4,345,4.12,5,12,10,24,0,893,129,O,20
1438,1,2,4,345,3.94,5,3,3,25,0,893,130,O,20
1465,1,3,4,345,5.01,5,5,5,24,0,893,131,O,20
1465,1,4,4,344,4.3,5,19,12,25,0,892,132,O,20
1464,1,5,4,344,5.63,5,2,2,26,0,892,133,O,20
1466,1,6,4,344,5.33,5,4,4,28,0,892,134,O,20
1473,1,7,4,344,5.74,5,3,3,34,0,892,135,O,20
1470,1,8,4,344,3.01,5,2,2,34,0,892,136,O,20
1470,1,9,4,344,2.75,5,10,6,35,0,892,137,O,20
1470,1,10,4,344,0.87,5,6,6,35,0,892,138,O,20
1470,1,11,4,344,3.32,5,9,9,36,0,892,139,O,20
1473,1,12,4,344,6.04,5,8,8,37,0,892,140,O,20
1473,1,13,4,344,4.08,5,7,7,35,0,892,141,O,20
1474,1,14,4,344,5.11,5,12,8,39,0,892,111,O,20
1472,1,15,4,344,5.13,5,3,3,40,0,892,112,O,20
1474,1,16,4,344,5.52,5,5,5,42,0,892,113,O,20
1473,1,17,4,344,6.25,5,19,9,42,0,892,114,O,20
1472,1,18,4,344,5.73,5,2,2,42,0,892,115,O,20
1474,1,19,4,344,5.87,5,4,4,42,0,892,116,O,20
1474,1,20,4,344,5.94,5,3,3,42,0,892,117,O,20
1473,1,21,4,344,6,5,2,2,42,0,892,118,O,20
1472,1,22,4,344,2.19,5,10,1,42,0,892,119,O,20
1474,1,23,4,344,2.68,5,2,2,42,0,892,120,O,20
1477,1,24,4,344,5.95,5,3,3,42,0,891,121,O,20
1474,1,25,4,344,5.81,3,2,2,42,0,891,122,O,20
1472,1,26,4,344,6.12,3,5,5,42,0,891,123,O,20
1474,1,27,4,344,5.62,3,4,4,42,0,891,124,O,20
1473,1,28,4,344,4.39,3,7,7,42,0,891,125,O,20
1472,1,29,4,344,5.8,3,1,1,42,0,891,126,O,20
1470,1,30,4,344,5.56,3,0,0,42,0,891,127,O,20
1474,1,31,4,344,4.93,3,2,2,42,0,891,128,O,20
1472,1,32,4,344,4.38,3,1,1,42,0,891,129,O,20
1473,1,33,4,344,3.5,3,3,3,42,0,891,130,O,20
1473,1,34,4,344,2.5,4,4,4,42,0,891,131,O,20
1472,1,35,4,344,3.94,4,6,6,42,0,891,132,O,20
1477,1,36,4,344,11.74,4,5,5,42,0,891,133,O,20
1474,1,37,4,344,7.19,4,4,4,42,0,891,134,O,20
1472,1,38,4,344,16.27,4,7,7,42,0,891,135,O,20
1474,2,39,4,344,16.08,4,1,1,42,0,891,135,O,20
1474,2,40,4,344,17.3,4,0,0,42,0,891,135,O,20
1471,2,41,4,344,8.45,4,2,2,42,0,891,135,O,20
1476,2,42,4,344,11.44,4,1,1,42,0,891,135,O,20
1474,2,43,4,344,15.38,4,3,3,42,0,891,135,O,20
1472,2,44,4,344,15,4,4,4,42,0,891,135,O,20
1472,2,45,4,344,10.94,4,6,6,42,0,891,135,O,20
1474,2,46,4,344,10.34,4,2,2,42,0,891,135,O,20
1474,2,47,4,344,7.39,4,1,1,42,0,891,135,O,20
1474,2,48,4,344,8.16,4,3,3,42,0,891,135,O,20
1474,2,49,4,344,9.33,4,4,4,42,0,891,135,O,20
1476,2,50,4,344,10.29,4,7,7,42,0,891,135,O,20
1474,2,51,4,344,9.36,4,8,8,42,1,891,135,O,20
1472,2,52,4,344,6.13,4,10,5,42,1,891,135,O,20
1476,2,53,4,344,6.36,4,1,1,42,1,891,135,O,20
1475,2,54,4,344,6.9,4,3,3,42,1,891,135,O,20
1472,2,55,4,344,9.2,4,2,2,42,1,891,135,O,20
1473,2,56,4,344,10.52,8,1,1,42,1,891,135,O,20
1471,2,57,4,344,7.88,8,1,1,42,0,891,135,O,20
1472,2,58,4,344,4.74,8,2,2,42,0,891,135,O,20
1474,2,59,4,344,5.65,8,3,3,42,0,891,135,O,20
1477,2,60,4,344,4.82,8,5,5,42,0,891,135,O,20
1474,2,61,4,344,9.16,8,4,4,42,0,891,135,O,20
1472,2,62,4,344,11.24,8,6,6,42,0,891,135,O,20
1476,2,63,4,344,7.93,8,1,1,42,0,891,135,O,20
1474,2,64,4,344,7.97,8,2,2,42,0,891,135,O,20
1472,2,65,4,344,7.76,8,15,15,42,0,891,135,O,20
1474,2,66,4,344,11.15,8,2,2,42,0,891,135,O,20
1477,2,67,4,344,10.12,8,3,3,42,0,891,135,O,20
1474,2,68,4,344,10.45,8,2,2,42,0,891,135,O,20
1474,2,69,4,344,10.76,8,1,1,42,0,891,135,O,20
1472,2,70,4,344,10.64,8,3,3,42,0,891,135,O,20
1476,2,71,4,344,10.42,8,5,5,42,0,891,135,O,20
1473,2,72,4,345,10.29,8,4,4,42,0,891,135,O,20
1477,2,73,4,345,8.01,8,6,6,42,0,891,135,O,20
1476,2,74,4,345,8.18,8,9,9,42,0,891,135,O,20
1474,2,75,4,345,8.77,8,8,8,42,0,891,135,O,20
1472,2,76,4,345,9.02,8,7,7,42,0,891,135,O,20
1472,2,77,4,345,10.1,8,12,6,42,0,891,135,O,20
1476,2,78,4,344,11.67,8,3,3,42,0,891,135,O,20
1476,2,79,4,344,7.65,8,5,5,42,0,891,135,O,20
1474,2,80,4,344,5.12,8,19,7,42,0,891,135,O,20
1472,2,81,4,344,5.14,8,2,2,42,0,891,135,O,20
1477,2,82,4,344,5.01,8,4,4,42,0,891,135,O,20
1474,2,83,4,344,4.31,8,3,3,42,0,891,135,O,20
1472,2,84,4,344,4.82,8,2,2,42,0,891,135,O,20
1477,2,85,4,344,5.83,8,10,8,42,0,891,135,O,20
1474,2,86,4,344,6.01,8,6,6,42,0,891,135,O,20
1472,2,87,4,344,6.14,8,9,9,42,0,891,135,O,20
1474,2,88,4,344,5.04,8,8,8,42,0,891,135,O,20
1476,2,89,4,344,6.82,8,7,7,42,0,891,135,O,20
1474,2,90,4,344,9.57,8,12,1,42,0,891,135,O,20
1472,2,91,4,344,11.69,8,3,3,42,0,891,135,O,20
1474,2,92,4,344,7.25,8,5,5,42,0,891,135,O,20
1476,2,93,4,344,5.58,8,4,4,42,0,891,135,O,20
1474,2,94,4,344,5.82,8,6,6,42,0,891,135,O,20
1472,2,95,4,344,6.07,8,9,9,42,0,891,135,O,20
1474,2,96,4,343,6.01,8,8,8,42,0,891,135,O,20
1477,2,97,4,343,5.99,8,7,7,42,0,891,135,O,20
1474,2,98,4,343,8.26,8,12,10,42,0,891,135,O,20
1472,2,99,4,343,54.11,8,3,3,42,0,891,135,O,20
1475,2,100,4,343,16.05,8,5,5,42,0,891,135,O,20
1476,2,101,4,343,17.61,8,19,2,42,0,891,135,O,20
1476,2,102,4,343,40.59,8,2,2,42,0,891,135,O,20
1474,2,103,4,343,23.97,8,4,4,42,0,891,135,O,20
1472,2,104,4,343,11.54,6,3,3,42,0,891,135,O,20
1472,2,105,4,343,12.45,6,2,2,42,0,891,135,O,20
1474,2,106,4,343,25.67,6,10,9,42,0,891,135,O,20
1473,2,107,4,343,26.02,6,6,6,42,0,891,135,O,20
1472,2,108,4,343,14.04,6,9,9,42,0,891,135,O,20
1477,2,109,4,343,9.81,6,8,8,42,0,891,135,O,20
1472,2,110,4,343,23.02,6,7,7,42,0,891,135,O,20
1474,2,111,4,340,21.63,6,12,4,42,0,891,135,O,20
1477,2,112,4,340,10.58,6,3,3,42,0,891,135,O,20
1477,2,113,4,340,7.38,6,5,5,42,0,891,135,O,20
1474,2,114,4,340,5.38,6,19,8,42,0,891,135,O,20
1475,2,115,4,340,6.14,6,2,2,42,0,891,135,O,20
1474,2,116,4,340,5.62,8,4,4,42,0,891,135,O,20
1476,2,117,4,340,5.46,8,3,3,42,0,891,135,O,20
1474,5,118,4,340,4.48,8,2,2,42,0,891,135,O,20
1472,5,119,4,340,3.45,8,10,5,45,0,891,135,O,20
1476,5,120,4,340,5.87,8,2,2,45,0,891,135,O,20
1474,5,121,4,340,4.95,8,3,3,45,0,891,135,O,20
1475,5,122,4,340,5.2,8,2,2,45,0,891,135,O,20
1476,5,123,4,340,10.31,8,5,5,45,0,891,135,O,20
1473,5,124,4,340,9.96,8,4,4,45,0,891,135,O,20
1473,5,125,4,340,6.91,8,7,7,45,0,891,135,O,20
1471,5,126,4,336,9.03,8,1,1,45,0,891,135,O,20
1472,5,127,4,336,7.18,8,0,0,45,0,891,135,O,20
1474,5,128,4,336,11.47,0,2,2,45,0,891,135,O,20
1474,5,129,4,336,4.76,0,1,1,45,0,891,135,O,20
1472,5,130,4,336,5.45,0,3,3,45,0,891,135,O,20
1473,5,131,4,336,5.68,0,4,4,45,0,891,135,O,20
1471,5,132,4,336,5.58,0,6,6,45,0,891,135,O,20
1474,5,133,4,336,7.27,0,5,5,45,0,891,135,O,20
1474,5,134,4,336,8.73,0,4,4,45,0,891,135,O,20
1473,5,135,4,336,4.44,4,7,7,45,0,891,135,O,20
1474,5,136,4,336,4.92,4,1,1,45,0,891,135,O,20
1474,5,137,4,336,5.18,4,0,0,45,0,891,135,O,20
1474,5,138,4,336,11.61,4,2,2,45,0,891,135,O,20
1471,5,139,4,336,10.84,4,1,1,45,0,891,135,O,20
1476,5,140,4,336,14.46,4,3,3,45,0,891,135,O,20
1474,5,141,4,336,17.03,4,4,4,45,0,891,135,O,20
1473,5,142,4,336,13.7,4,6,6,45,0,891,135,O,20
1473,5,143,4,336,13.66,4,2,2,45,0,891,135,O,20
1473,5,144,4,336,9.4,4,1,1,45,0,891,135,O,20
1473,5,145,4,336,12.67,4,3,3,45,0,891,135,O,20
1474,5,146,4,336,9.89,4,4,4,45,0,890,135,O,20
1472,5,147,4,336,4.55,4,7,7,45,0,890,135,O,20
1474,5,148,4,336,8.25,4,8,8,45,0,890,135,O,20
1474,5,149,4,336,10.6,4,10,7,45,0,890,135,O,20
1474,5,150,4,336,7.05,4,1,1,45,0,890,135,O,20
1471,5,151,4,336,6.94,4,3,3,45,0,890,135,O,20
1474,5,152,4,336,8.56,4,2,2,45,0,890,135,O,20
1474,5,153,4,336,6.47,4,1,1,45,0,890,135,O,20
1473,5,154,4,336,10.44,4,1,1,45,0,890,135,O,20
1472,5,155,4,335,7.56,4,2,2,45,0,890,135,O,20
1474,5,156,4,335,5.49,4,3,3,45,0,890,135,O,20
1474,5,157,4,335,6.52,4,5,5,45,0,890,130,O,20
1474,5,158,4,335,6.6,4,4,4,45,0,890,135,O,20
1471,5,159,4,335,7.77,4,6,6,45,0,890,135,O,20
1476,5,160,4,335,9.2,4,1,1,45,0,890,135,O,20
1473,5,161,4,335,5.88,4,2,2,45,0,890,135,O,20
1474,5,162,4,335,6.53,0,15,5,45,0,890,135,O,20
1472,5,163,4,335,9.89,0,2,2,45,0,890,135,O,20
1474,5,164,4,335,6.05,0,3,3,45,0,890,135,O,20
1471,5,165,4,335,9.43,0,2,2,45,0,890,135,O,20
1474,5,166,4,335,9.89,0,1,1,45,0,890,135,O,20
1474,5,167,4,335,11.88,0,3,3,45,0,890,135,O,20
1474,5,168,4,335,7.46,0,5,5,45,0,890,135,O,20
1472,5,169,4,335,8.22,0,4,4,45,0,890,135,O,20
1472,5,170,4,335,8.63,0,6,6,45,0,890,135,O,20
1474,5,171,4,335,14.29,0,9,9,45,0,890,135,O,20
1471,5,172,4,335,11.75,0,8,8,45,0,890,135,O,20
1474,5,173,4,335,14.77,0,7,7,45,0,890,135,O,20
1477,5,174,4,335,12.24,0,12,2,45,0,890,135,O,20
1471,5,175,4,335,12.99,0,3,3,45,0,890,135,O,20
1477,5,176,4,335,11.72,0,5,5,45,0,890,135,O,20
1473,5,177,4,335,8.07,0,19,0,45,0,890,135,O,20
1474,5,178,4,335,11.48,0,2,2,45,0,890,135,O,20
1474,5,179,4,335,6.51,0,4,4,45,0,890,135,O,20
1472,5,180,4,335,7.28,0,3,3,45,0,890,135,O,20
1476,5,181,4,335,7.11,0,2,2,45,0,890,135,O,20
1471,5,182,4,335,7.18,0,10,0,45,0,890,135,O,20
1474,5,183,4,335,5,0,6,6,45,0,890,135,O,20
1474,5,184,4,335,5.13,0,9,9,45,0,890,135,O,20
1472,5,185,4,335,5.31,0,8,8,45,0,890,135,O,20
1474,5,186,4,335,6.28,0,7,7,45,0,890,135,O,20
1474,5,187,4,335,6.05,0,12,9,45,0,890,135,O,20
1474,5,188,4,335,6.07,0,12,8,45,0,890,135,O,20
1471,5,189,4,335,6.14,0,3,3,45,0,890,135,O,20
1474,5,190,4,335,7.13,0,5,5,45,0,890,135,O,20
1471,5,191,4,335,7.12,0,19,5,45,0,890,135,O,20
1474,5,192,4,335,5.15,0,2,2,45,0,890,135,O,20
1474,5,193,4,335,4.63,0,4,4,45,0,890,135,O,20
1474,5,194,4,335,5.88,0,3,3,45,0,890,135,O,20
1474,5,195,4,335,6.62,0,2,2,45,0,890,135,O,20
1473,5,196,4,335,7.11,0,10,6,45,0,890,135,O,20
1474,5,197,4,335,5.76,0,6,6,45,0,890,135,O,20
1474,5,198,4,335,5.69,0,9,9,45,0,890,135,O,20
1477,5,199,4,335,4.87,0,8,8,45,0,890,135,O,20
1471,5,200,4,335,4.65,0,7,7,45,0,890,135,O,20
1474,5,201,4,335,5.36,0,12,7,45,0,890,135,O,20
1474,5,202,4,336,8.11,0,3,3,45,0,890,135,O,20
1474,5,203,4,336,7.87,0,5,5,45,0,890,135,O,20
1472,5,204,4,336,5.45,0,19,8,45,0,890,135,O,20
1474,5,205,4,336,4.25,0,2,2,45,0,890,135,O,20
1474,5,206,4,336,5.68,0,4,4,45,0,890,135,O,20
1472,5,207,4,336,6.04,0,3,3,45,0,890,135,O,20
1473,5,208,4,336,6.14,0,2,2,45,0,890,135,O,20
1472,5,209,4,336,5.51,0,10,1,45,0,890,135,O,20
1472,5,210,4,336,5.76,0,2,2,45,0,890,135,O,20
1474,5,211,4,336,4.3,0,3,3,45,0,890,135,O,20
1474,5,212,4,336,5.95,0,2,2,45,0,890,135,O,20
1474,5,213,4,336,4.38,0,5,5,45,0,890,135,O,20
1474,5,214,4,336,4.38,0,4,4,45,0,890,135,O,20
1474,5,215,4,336,1.56,3,7,7,45,0,890,135,O,20
1473,5,216,4,336,4.93,3,1,1,45,0,890,135,O,20
1472,5,217,4,336,4.74,3,0,0,45,0,890,135,O,20
1474,5,218,4,336,5.83,3,2,2,45,0,890,135,O,20
1472,5,219,4,336,5.42,3,1,1,45,0,890,135,O,20
1474,5,220,4,336,4.84,3,3,3,45,0,890,135,O,20
1471,5,221,4,336,8,3,4,4,45,0,890,135,O,20
1474,5,222,4,336,6.12,3,6,6,45,0,890,135,O,20
1474,5,223,4,336,5.94,3,5,5,45,0,890,135,O,20
1473,5,224,4,336,5.88,3,4,4,45,0,890,135,O,20
1474,5,225,4,336,5.21,3,7,7,45,0,890,135,O,20
1474,5,226,4,336,10.17,3,1,1,45,0,890,135,O,20
1474,5,227,4,336,6,3,0,0,45,0,890,135,O,20
1474,5,228,4,336,5.82,3,2,2,45,0,890,135,O,20
1474,5,229,4,337,2,3,1,1,45,0,890,135,O,20
1474,5,230,4,337,3.99,3,3,3,45,0,890,135,O,20
1474,5,231,4,337,4.32,3,4,4,45,0,890,135,O,20
1472,5,232,4,337,4.5,3,6,6,45,0,890,135,O,20
1474,5,233,4,337,4.94,3,2,2,45,0,890,135,O,20
1474,5,234,4,337,2.25,3,1,1,45,0,890,135,O,20
1474,5,235,4,337,5.62,3,3,3,45,0,890,135,O,20
