FD,time,apache 
3119,1,5
3119,2,5
3119,3,5
3101,4,6
3102,5,6
3101,6,6
3102,7,6
3101,8,6
3102,9,6
3102,10,6
3102,11,6
3102,12,6
3101,13,6
3116,14,6
3116,15,6
3116,16,6
3115,17,6
3115,18,6
3115,19,6
3115,20,6
3116,21,6
3116,22,6
3116,23,6
3116,24,6
3116,25,6
3116,26,6
3116,27,6
3116,28,6
3116,29,6
3116,30,6
3116,31,6
3116,32,6
3116,33,6
3116,34,6
3116,35,6
3116,36,6
3116,37,6
3116,38,6
3116,39,6
3116,40,6
3115,41,6
3115,42,6
3115,43,6
3116,44,6
3116,45,6
3116,46,6
3116,47,6
3116,48,6
3116,49,6
3115,50,6
3115,51,6
3115,52,6
3116,53,6
3116,54,6
3116,55,6
3116,56,6
3116,57,6
3115,58,6
3115,59,6
3115,60,6
3115,61,6
3115,62,6
3115,63,6
3115,64,6
3115,65,6
3115,66,6
3115,67,6
3115,68,6
3115,69,6
3115,70,6
3115,71,6
3145,72,6
3145,73,6
3145,74,6
3145,75,6
3145,76,6
3145,77,6
3115,78,6
3115,79,6
3116,80,6
3116,81,6
3116,82,6
3116,83,6
3116,84,6
3116,85,6
3116,86,6
3115,87,6
3116,88,6
3116,89,6
3115,90,6
3115,91,6
3115,92,6
3115,93,6
3115,94,6
3115,95,6
3112,96,6
3112,97,6
3112,98,6
3112,99,6
3112,100,6
3112,101,6
3112,102,6
3112,103,6
3112,104,6
3112,105,6
3112,106,6
3112,107,6
3112,108,6
3114,109,6
3112,110,6
3103,111,6
3103,112,6
3103,113,6
3106,114,6
3103,115,6
3103,116,6
3103,117,6
3103,118,6
3106,119,6
3103,120,6
3106,121,6
3103,122,6
3103,123,6
3103,124,6
3103,125,6
3091,126,6
3094,127,6
3091,128,6
3091,129,6
3091,130,6
3091,131,6
3094,132,6
3092,133,6
3092,134,6
3092,135,6
3091,136,6
3091,137,6
3092,138,6
3092,139,6
3092,140,6
3092,141,6
3094,142,6
3091,143,6
3091,144,6
3094,145,6
3091,146,6
3094,147,6
3094,148,6
3094,149,6
3091,150,6
3091,151,6
3091,152,6
3091,153,6
3091,154,6
3091,155,6
3091,156,6
3091,157,6
3088,158,6
3091,159,6
3091,160,6
3091,161,6
3088,162,6
3091,163,6
3091,164,6
3092,165,6
3091,166,6
3092,167,6
3089,168,6
3088,169,6
3091,170,6
3091,171,6
3091,172,6
3088,173,6
3091,174,6
3091,175,6
3091,176,6
3091,177,6
3091,178,6
3090,179,6
3089,180,6
3091,181,6
3089,182,6
3088,183,6
3091,184,6
3091,185,6
3091,186,6
3091,187,6
3091,188,6
3088,189,6
3091,190,6
3088,191,6
3091,192,6
3091,193,6
3091,194,6
3090,195,6
3088,196,6
3091,197,6
3091,198,6
3091,199,6
3091,200,6
3092,201,6
3093,202,6
3091,203,6
3094,204,6
3094,205,6
3093,206,6
3091,207,6
3093,208,6
3092,209,6
3093,210,6
3092,211,6
3093,212,6
3092,213,6
3093,214,6
3092,215,6
3093,216,6
3092,217,6
3093,218,6
3092,219,6
3093,220,6
3091,221,6
3094,222,6
3094,223,6
3091,224,6
3094,225,6
3093,226,6
3091,227,6
3094,228,6
3096,229,6
3095,230,6
3096,231,6
3095,232,6
3098,233,6
3097,234,6
3097,235,6
3094,236,6
3094,237,6
3097,238,6
3096,239,6
3092,240,6
3093,241,6
3092,242,6
3093,243,6
3092,244,6
3092,245,6
3091,246,6
3095,247,6
3092,248,6
3094,249,6
3092,250,6
3092,251,6
3092,252,6
3092,253,6
3093,254,6
3088,255,6
3091,256,6
3091,257,6
3091,258,6
3084,259,6
3083,260,6
3084,261,6
3083,262,6
3084,263,6
3083,264,6
3085,265,6
3086,266,6
3083,267,6
3084,268,6
3079,269,6
3082,270,6
3082,271,6
3082,272,6
3082,273,6
3080,274,6
3081,275,6
3082,276,6
3081,277,6
3080,278,6
3081,279,6
3080,280,6
3080,281,6
3080,282,6
3082,283,6
3081,284,6
3079,285,6
3082,286,6
3079,287,6
3079,288,6
3082,289,6
3082,290,6
3082,291,6
3082,292,6
3080,293,6
3079,294,6
3082,295,6
3082,296,6
3082,297,6
3081,298,6
3080,299,6
3081,300,6
3079,301,6
3082,302,6
3084,303,6
3079,304,6
