connections,halfopen,Errors,time
893,129,O,1
893,130,O,2
893,131,O,3
892,132,O,4
892,133,O,5
892,134,O,6
892,135,O,7
892,136,O,8
892,137,O,9
892,138,O,10
892,139,O,11
892,140,O,12
892,141,O,13
892,111,O,14
892,112,O,15
892,113,O,16
892,114,O,17
892,115,O,18
892,116,O,19
892,117,O,20
892,118,O,21
892,119,O,22
892,120,O,23
891,121,O,24
891,122,O,25
891,123,O,26
891,124,O,27
891,125,O,28
891,126,O,29
891,127,O,30
891,128,O,31
891,129,O,32
891,130,O,33
891,131,O,34
891,132,O,35
891,133,O,36
891,134,O,37
891,135,O,38
891,135,O,39
891,135,O,40
891,135,O,41
891,135,O,42
891,135,O,43
891,135,O,44
891,135,O,45
891,135,O,46
891,135,O,47
891,135,O,48
891,135,O,49
891,135,O,50
891,135,O,51
891,135,O,52
891,135,O,53
891,135,O,54
891,135,O,55
891,135,O,56
891,135,O,57
891,135,O,58
891,135,O,59
891,135,O,60
891,135,O,61
891,135,O,62
891,135,O,63
891,135,O,64
891,135,O,65
891,135,O,66
891,135,O,67
891,135,O,68
891,135,O,69
891,135,O,70
891,135,O,71
891,135,O,72
891,135,O,73
891,135,O,74
891,135,O,75
891,135,O,76
891,135,O,77
891,135,O,78
891,135,O,79
891,135,O,80
891,135,O,81
891,135,O,82
891,135,O,83
891,135,O,84
891,135,O,85
891,135,O,86
891,135,O,87
891,135,O,88
891,135,O,89
891,135,O,90
891,135,O,91
891,135,O,92
891,135,O,93
891,135,O,94
891,135,O,95
891,135,O,96
891,135,O,97
891,135,O,98
891,135,O,99
891,135,O,100
891,135,O,101
891,135,O,102
891,135,O,103
891,135,O,104
891,135,O,105
891,135,O,106
891,135,O,107
891,135,O,108
891,135,O,109
891,135,O,110
891,135,O,111
891,135,O,112
891,135,O,113
891,135,O,114
891,135,O,115
891,135,O,116
891,135,O,117
891,135,O,118
891,135,O,119
891,135,O,120
891,135,O,121
891,135,O,122
891,135,O,123
891,135,O,124
891,135,O,125
891,135,O,126
891,135,O,127
891,135,O,128
891,135,O,129
891,135,O,130
891,135,O,131
891,135,O,132
891,135,O,133
891,135,O,134
891,135,O,135
891,135,O,136
891,135,O,137
891,135,O,138
891,135,O,139
891,135,O,140
891,135,O,141
891,135,O,142
891,135,O,143
891,135,O,144
891,135,O,145
890,135,O,146
890,135,O,147
890,135,O,148
890,135,O,149
890,135,O,150
890,135,O,151
890,135,O,152
890,135,O,153
890,135,O,154
890,135,O,155
890,135,O,156
890,130,O,157
890,135,O,158
890,135,O,159
890,135,O,160
890,135,O,161
890,135,O,162
890,135,O,163
890,135,O,164
890,135,O,165
890,135,O,166
890,135,O,167
890,135,O,168
890,135,O,169
890,135,O,170
890,135,O,171
890,135,O,172
890,135,O,173
890,135,O,174
890,135,O,175
890,135,O,176
890,135,O,177
890,135,O,178
890,135,O,179
890,135,O,180
890,135,O,181
890,135,O,182
890,135,O,183
890,135,O,184
890,135,O,185
890,135,O,186
890,135,O,187
890,135,O,188
890,135,O,189
890,135,O,190
890,135,O,191
890,135,O,192
890,135,O,193
890,135,O,194
890,135,O,195
890,135,O,196
890,135,O,197
890,135,O,198
890,135,O,199
890,135,O,200
890,135,O,201
890,135,O,202
890,135,O,203
890,135,O,204
890,135,O,205
890,135,O,206
890,135,O,207
890,135,O,208
890,135,O,209
890,135,O,210
890,135,O,211
890,135,O,212
890,135,O,213
890,135,O,214
890,135,O,215
890,135,O,216
890,135,O,217
890,135,O,218
890,135,O,219
890,135,O,220
890,135,O,221
890,135,O,222
890,135,O,223
890,135,O,224
890,135,O,225
890,135,O,226
890,135,O,227
890,135,O,228
890,135,O,229
890,135,O,230
890,135,O,231
890,135,O,232
890,135,O,233
890,135,O,234
890,135,O,235
890,135,O,236
890,135,O,237
890,135,O,238
890,135,O,239
890,135,O,240
890,135,O,241
890,135,O,242
890,135,O,243
890,135,O,244
890,135,O,245
890,135,O,246
890,135,O,247
890,135,O,248
890,135,O,249
890,135,O,250
890,135,O,251
890,135,O,252
890,135,O,253
890,135,O,254
890,135,O,255
890,135,O,256
890,135,O,257
890,135,O,258
890,135,O,259
890,135,O,260
890,135,O,261
890,135,O,262
890,135,O,263
890,135,O,264
890,135,O,265
890,135,O,266
890,135,O,267
890,135,O,268
890,135,O,269
890,135,O,270
890,135,O,271
890,135,O,272
890,135,O,273
890,135,O,274
890,135,O,275
890,135,O,276
890,135,O,277
890,135,O,278
890,135,O,279
890,135,O,280
890,135,O,281
890,135,O,282
890,135,O,283
890,135,O,284
890,135,O,285
890,135,O,286
890,135,O,287
890,135,O,288
890,135,O,289
890,135,O,290
880,120,O,291
880,120,O,292
880,120,O,293
880,120,O,294
880,120,O,295
880,120,O,296
880,120,O,297
880,120,O,298
880,120,O,299
880,120,O,300
880,120,O,301
880,120,O,302
880,120,O,303
880,120,O,304
880,120,O,305
880,120,O,306
880,120,O,307
880,120,O,308
880,120,O,309
880,120,O,310
880,120,O,311
880,120,O,312
880,120,O,313
880,120,O,314
880,120,O,315
880,120,O,316
880,120,O,317
880,120,O,318
880,120,O,319
880,120,O,320
880,120,O,321
880,120,O,322
880,120,O,323
880,120,O,324
880,120,O,325
880,120,O,326
880,120,O,327
880,120,O,328
880,120,O,329
880,120,O,330
880,120,O,331
880,120,O,332
880,120,O,333
880,120,O,334
880,120,O,335
880,120,O,336
880,120,O,337
880,120,O,338
880,120,O,339
880,120,O,340
880,120,O,341
880,120,O,342
880,120,O,343
880,120,O,344
880,120,O,345
880,120,O,346
880,120,O,347
880,120,O,348
880,120,O,349
880,120,O,350
880,120,O,351
880,120,O,352
880,120,O,353
880,120,O,354
880,120,O,355
880,120,O,356
880,120,O,357
880,120,O,358
880,120,O,359
880,120,O,360
880,120,O,361
880,120,O,362
880,120,O,363
880,120,O,364
880,120,O,365
880,120,O,366
880,120,O,367
880,120,O,368
880,120,O,369
880,120,O,370
880,120,O,371
880,120,O,372
880,120,O,373
880,120,O,374
880,120,O,375
880,120,O,376
880,120,O,377
880,120,O,378
880,120,O,379
880,120,O,380
880,120,O,381
880,120,O,382
880,120,O,383
880,120,O,384
880,120,O,385
880,120,O,386
880,120,O,387
880,120,O,388
880,120,O,389
880,120,O,390
880,120,O,391
880,120,O,392
880,120,O,393
880,120,O,394
880,120,O,395
880,120,O,396
880,120,O,397
880,120,O,398
880,120,O,399
880,120,O,400
880,120,O,401
880,120,O,402
880,120,O,403
880,120,O,404
880,120,O,405
880,120,O,406
880,120,O,407
880,120,O,408
880,120,O,409
880,120,O,410
880,120,O,411
880,120,O,412
880,120,O,413
880,120,O,414
880,120,O,415
880,120,O,416
880,120,O,417
880,120,O,418
880,120,O,419
880,120,O,420
880,120,O,421
880,120,O,422
880,120,O,423
880,120,O,424
880,120,O,425
880,120,O,426
880,120,O,427
880,120,O,428
880,120,O,429
880,120,O,430
880,120,O,431
880,120,O,432
880,120,O,433
880,120,O,434
880,120,O,435
880,120,O,436
880,120,O,437
880,120,O,438
880,120,O,439
880,120,O,440
880,120,O,441
880,120,O,442
880,120,O,443
880,120,O,444
880,120,O,445
880,120,O,446
880,120,O,447
880,120,O,448
880,120,O,449
880,120,O,450
880,120,O,451
880,120,O,452
880,120,O,453
880,120,O,454
880,120,O,455
880,120,O,456
880,120,O,457
880,120,O,458
880,120,O,459
880,120,O,460
880,120,O,461
880,120,O,462
880,120,O,463
880,120,O,464
880,120,O,465
880,120,O,466
880,120,O,467
880,120,O,468
880,120,O,469
880,120,O,470
880,120,O,471
880,120,O,472
880,120,O,473
880,120,O,474
880,120,O,475
880,120,O,476
880,120,O,477
880,120,O,478
880,120,O,479
880,120,O,480
880,120,O,481
880,120,O,482
880,120,O,483
880,120,O,484
880,120,O,485
880,120,O,486
880,120,O,487
880,120,O,488
880,120,O,489
880,120,O,490
880,120,O,491
880,120,O,492
880,120,O,493
880,120,O,494
880,120,O,495
880,120,O,496
880,120,O,497
880,120,O,498
880,120,O,499
880,120,O,500
880,120,O,501
880,120,O,502
880,120,O,503
880,120,O,504
880,120,O,505
880,120,O,506
880,120,O,507
880,120,O,508
880,120,O,509
880,120,O,510
880,120,O,511
880,120,O,512
880,120,O,513
880,120,O,514
880,120,O,515
880,120,O,516
880,120,O,517
880,120,O,518
880,120,O,519
880,120,O,520
880,120,O,521
880,120,O,522
880,120,O,523
880,120,O,524
880,120,O,525
880,120,O,526
880,120,O,527
880,120,O,528
880,120,O,529
880,120,O,530
880,120,O,531
880,120,O,532
880,120,O,533
880,120,O,534
