user,nice,system,iowait,steal,idle,Concurrency,time,apache 
5.93,0,56.9,4.12,0,33.04,1,1,5
5.07,0,55.28,3.94,0,35.71,1,2,5
5.69,0,57.2,5.01,0,32.1,1,3,5
6.11,0,57.01,4.3,0,32.59,1,4,6
7.28,0,56.45,5.63,0,30.64,1,5,6
6.63,0,56.82,5.33,0,31.23,1,6,6
5.99,0,56.05,5.74,0,32.23,1,7,6
5.71,0,57.15,3.01,0,34.13,1,8,6
5.49,0,57.24,2.75,0,34.52,1,9,6
5.93,0,56.64,0.87,0,36.56,1,10,6
5.39,0,57.46,3.32,0,33.83,1,11,6
5.48,0,53.2,6.04,0,35.28,1,12,6
5.65,0,57.06,4.08,0,33.21,1,13,6
6.23,0,56.55,5.11,0,32.11,1,14,6
6.07,0,57.04,5.13,0,31.77,1,15,6
5.71,0,56.96,5.52,0,31.81,1,16,6
5.25,0,52.66,6.25,0,35.83,1,17,6
5.73,0,56.95,5.73,0,31.59,1,18,6
6.06,0,56.9,5.87,0,31.17,1,19,6
5.25,0,57.44,5.94,0,31.37,1,20,6
5.87,0,56.96,6,0,31.17,1,21,6
5.88,0,57.01,2.19,0,34.92,1,22,6
5.61,0.06,57.11,2.68,0,34.54,1,23,6
5.13,0,57.73,5.95,0,31.18,1,24,6
6.12,0,56.9,5.81,0,31.17,1,25,6
5.25,0,57.59,6.12,0,31.04,1,26,6
5.49,0,53.5,5.62,0,35.39,1,27,6
6.03,0,56.81,4.39,0,32.77,1,28,6
6.11,0,56.8,5.8,0,31.3,1,29,6
5.62,0,57.28,5.56,0,31.54,1,30,6
5.93,0,57.05,4.93,0,32.08,1,31,6
5.57,0,51.72,4.38,0,38.32,1,32,6
5.75,0,57.15,3.5,0,33.6,1,33,6
5.31,0,57.53,2.5,0,34.67,1,34,6
5.75,0,56.97,3.94,0,33.33,1,35,6
5.56,0,57.15,11.74,0,25.55,1,36,6
4.88,0.19,55.1,7.19,0,32.65,1,37,6
5.53,0,54.91,16.27,0,23.29,1,38,6
5.49,0,57.36,16.08,0,21.07,2,39,6
5.62,0,57.21,17.3,0,19.86,2,40,6
5.13,0,57.63,8.45,0,28.79,2,41,6
6.12,0,57,11.44,0,25.44,2,42,6
5.5,0,55.72,15.38,0,23.39,2,43,6
5.12,0,53.75,15,0,26.12,2,44,6
5.94,0,53.1,10.94,0,30.02,2,45,6
4.51,0,48.03,10.34,0,37.12,2,46,6
5.58,0,57.33,7.39,0,29.7,2,47,6
5.86,0.06,57.07,8.16,0,28.85,2,48,6
5.22,0,54.54,9.33,0,30.91,2,49,6
5.12,0,51.03,10.29,0,33.56,2,50,6
5.61,0.19,57.33,9.36,0,27.51,2,51,6
5.94,0,57.2,6.13,0,30.73,2,52,6
5.74,0,57.39,6.36,0,30.51,2,53,6
5.77,0,53.42,6.9,0,33.92,2,54,6
5.38,0,52.57,9.2,0,32.85,2,55,6
5.85,0.06,51.59,10.52,0,31.99,2,56,6
5.13,0.19,56.01,7.88,0,30.79,2,57,6
5.92,0,57.13,4.74,0,32.21,2,58,6
5.52,0,57.21,5.65,0,31.62,2,59,6
5.44,0,57.57,4.82,0,32.17,2,60,6
5.61,0,54.11,9.16,0,31.11,2,61,6
5.46,0.06,52.89,11.24,0,30.34,2,62,6
4.93,0.06,47,7.93,0,40.07,2,63,6
5.33,0,53.83,7.97,0,32.87,2,64,6
5.57,0.06,55.19,7.76,0,31.41,2,65,6
5.26,0,52.44,11.15,0,31.14,2,66,6
5.93,0.06,57.15,10.12,0,26.73,2,67,6
5.26,0,51.19,10.45,0,33.1,2,68,6
5.13,0,51.56,10.76,0,32.54,2,69,6
5.26,0.13,53.57,10.64,0,30.41,2,70,6
5.12,0.06,52.59,10.42,0,31.82,2,71,6
5.65,0.06,51.69,10.29,0,32.31,2,72,6
5.82,0.06,53,8.01,0,33.1,2,73,6
4.74,0,42.51,8.18,0,44.57,2,74,6
5.01,0.06,50.59,8.77,0,35.57,2,75,6
5.54,0.06,49.22,9.02,0,36.15,2,76,6
4.99,0,47.76,10.1,0,37.16,2,77,6
5.68,0,53.28,11.67,0,29.38,2,78,6
5.33,0.13,52.98,7.65,0,33.92,2,79,6
6.25,0,56.62,5.12,0,32,2,80,6
5.89,0,56.95,5.14,0,32.02,2,81,6
5.51,0,57.36,5.01,0,32.12,2,82,6
5.87,0,56.99,4.31,0,32.83,2,83,6
5.76,0,53.69,4.82,0,35.73,2,84,6
5.58,0,57.14,5.83,0,31.45,2,85,6
5.82,0,56.98,6.01,0,31.18,2,86,6
5.64,0,57.14,6.14,0,31.08,2,87,6
6.22,0,56.63,5.04,0,32.11,2,88,6
5.44,0,52.88,6.82,0,34.86,2,89,6
5.88,0,56.95,9.57,0,27.6,2,90,6
5.31,0,56.38,11.69,0,26.62,2,91,6
6,0,56.84,7.25,0,29.92,2,92,6
5.64,0,57.18,5.58,0,31.6,2,93,6
5.82,0,56.95,5.82,0,31.41,2,94,6
5.75,0,57.04,6.07,0,31.14,2,95,6
5.51,0,54.04,6.01,0,34.44,2,96,6
5.86,0,57.14,5.99,0,31,2,97,6
5.63,0,57.2,8.26,0,28.91,2,98,6
1.44,0,14.55,54.11,0,29.91,2,99,6
4.34,0,38.61,16.05,0,41.01,2,100,6
5.14,0.06,47.87,17.61,0,29.32,2,101,6
2.56,0.06,10.19,40.59,0,46.59,2,102,6
3.25,0,26.03,23.97,0,46.75,2,103,6
5.37,0,48.29,11.54,0,34.8,2,104,6
5.35,0.19,40.95,12.45,0,41.07,2,105,6
1.88,0.06,14.44,25.67,0,57.94,2,106,6
2.75,0.06,26.89,26.02,0,44.28,2,107,6
4.64,0,47.52,14.04,0,33.79,2,108,6
5.24,0.12,53.18,9.81,0,31.65,2,109,6
3.14,0.13,23.59,23.02,0,50.13,2,110,6
3.57,0.06,33.73,21.63,0,41,2,111,6
3.98,0.12,37.52,10.58,0,47.79,2,112,6
4.82,0,51.31,7.38,0,36.48,2,113,6
5.82,0,57.01,5.38,0,31.79,2,114,6
5.89,0,57.05,6.14,0,30.91,2,115,6
5.68,0,57.3,5.62,0,31.4,2,116,6
7.73,0,56.72,5.46,0,30.09,2,117,6
6.85,0,50.09,4.48,0,38.58,5,118,6
7.34,0,56.84,3.45,0,32.37,5,119,6
7.18,0,57.24,5.87,0,29.71,5,120,6
7.02,0,57.27,4.95,0,30.76,5,121,6
7.71,0,56.99,5.2,0,30.09,5,122,6
5.94,0,54,10.31,0,29.75,5,123,6
5.82,0,57.17,9.96,0,27.05,5,124,6
